Timestamp,Overall alarm status,Pre-oxygenator pressure mmHg,Post-oxygenator pressure mmHg,Oxygenator pressure delta mmHg,Pre-oxygenator saturation %,Post-oxygenator saturation %,Post-oxygenator temperature C,Flow rate L/min,Measured pump speed PRM,Flow alarm low limit L/min,Flow alarm high limit L/min,Pre-oxygenator pressure alarm low limit mmHg,Pre-oxygenator pressure alarm high limit mmHg,Post-oxygenator pressure alarm low limit mmHg,Post-oxygenator pressure alarm high limit mmHg,Oxygenator pressure delta alarm low limit mmHg,Oxygenator pressure delta alarm high limit mmHg,Pre-oxygenator saturation alarm low limit %,Pre-oxygenator saturation alarm high limit %,Post-oxygenator saturation alarm low limit %,Post-oxygenator temperature alarm low limit C,Post-oxygenator temperature alarm high limit C,Bubble alarm status,Technical Fault,Case Number
2026.04.11 11:54:55.921,Alarm,--,--,--,--,--,--,0.00,0,A,8.00,50,300,50,300,10,75,50.0,90.0,95.0,35.0,37.5,E,,12
2026.04.11 11:55:40.852,Alarm,--,--,--,--,--,--,0.00,0,A,8.00,50,300,50,300,10,75,50.0,90.0,95.0,35.0,37.5,E,,12
2026.04.11 11:56:40.874,Alarm,--,--,--,--,--,--,0.00,0,A,8.00,50,300,50,300,10,75,50.0,90.0,95.0,35.0,37.5,E,,12
2026.04.11 11:56:57.595,Alarm,--,--,--,--,--,--,0.00,0,A,8.00,50,300,50,300,10,75,50.0,90.0,95.0,35.0,37.5,A,,12
2026.04.11 11:57:04.999,Alarm,--,--,--,--,--,--,0.11,0,0.10,8.00,50,300,50,300,10,75,50.0,90.0,95.0,35.0,37.5,A,,12
2026.04.11 11:57:11.449,Alarm,--,--,--,--,--,--,0.09,0,A,8.00,50,300,50,300,10,75,50.0,90.0,95.0,35.0,37.5,A,,12
2026.04.11 11:57:40.899,Alarm,--,--,--,--,--,--,0.00,0,A,8.00,50,300,50,300,10,75,50.0,90.0,95.0,35.0,37.5,A,,12
2026.04.11 11:57:53.169,Alarm,53,51,2,Lo,--,22.6,0.00,0,A,8.00,50,300,50,300,10,75,50.0,90.0,95.0,35.0,37.5,A,,12
2026.04.11 11:57:54.263,Alarm,53,51,2,Lo,41.0,22.6,0.00,0,A,8.00,50,300,50,300,10,75,50.0,90.0,95.0,A,37.5,A,,12
2026.04.11 11:57:55.248,Alarm,53,51,2,Lo,41.0,22.6,0.00,0,A,8.00,50,300,50,300,A,75,A,90.0,95.0,A,37.5,A,,12
2026.04.11 11:57:56.153,Alarm,53,51,2,Lo,40.2,22.6,-0.01,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,12
2026.04.11 11:57:57.223,Alarm,54,51,3,Lo,Lo,22.6,-0.01,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,12
2026.04.11 11:57:57.845,Alarm,54,51,3,Lo,Lo,22.6,0.00,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,12
2026.04.11 11:58:02.094,Alarm,54,52,2,Lo,40.1,22.7,0.00,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,12
2026.04.11 11:58:13.543,Alarm,55,57,-2,Lo,41.7,22.8,0.10,750,0.10,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,12
2026.04.11 11:58:19.871,Alarm,83,68,15,Lo,41.3,22.6,1.24,1270,0.10,8.00,50,300,50,300,10,75,A,90.0,A,A,37.5,A,,12
2026.04.11 11:58:38.612,Alarm,112,105,7,Lo,40.5,22.7,1.67,1750,0.10,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,12
2026.04.11 11:58:40.919,Alarm,110,106,4,Lo,40.9,22.8,1.59,1750,0.10,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,12
2026.04.11 11:58:41.589,Alarm,110,105,5,Lo,Lo,22.8,1.61,1750,0.10,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,12
2026.04.11 11:58:48.488,Alarm,73,66,7,Lo,41.1,22.7,1.17,50,0.10,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,12
2026.04.11 11:58:50.437,Alarm,54,51,3,Lo,41.1,22.7,0.10,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,12
2026.04.11 11:58:53.391,Alarm,51,51,0,Lo,Lo,22.7,0.01,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,12
2026.04.11 11:58:55.403,Alarm,54,54,0,Lo,40.6,22.8,0.02,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,12
2026.04.11 11:59:16.170,Alarm,64,61,3,Lo,42.6,22.8,0.11,1260,0.10,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,12
2026.04.11 11:59:33.415,Alarm,99,92,7,Lo,42.8,22.7,1.43,1530,0.10,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,E,,12
2026.04.11 11:59:40.940,Alarm,137,130,7,Lo,42.9,22.7,2.10,2160,0.10,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,E,,12
2026.04.11 11:59:46.223,Alarm,152,147,5,Lo,43.1,22.6,2.38,2390,0.10,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,E,,12
